From,To,Length(m),Azimuth(deg),Clino(deg)
1.60@centerline.data,1.61@centerline.data,17.04,255.58,-0.40
1.61@centerline.data,1.62@centerline.data,14.83,194.86,1.79
1.62@centerline.data,1.63@centerline.data,25.96,199.14,-3.52
1.63@centerline.data,1.64@centerline.data,18.48,206.22,5.96
1.64@centerline.data,1.65@centerline.data,22.45,207.36,-2.20
1.65@centerline.data,1.66@centerline.data,15.01,233.92,1.70
1.66@centerline.data,1.67@centerline.data,37.39,198.98,-0.15
1.67@centerline.data,1.68@centerline.data,39.17,213.49,-0.01
1.68@centerline.data,1.69@centerline.data,35.59,142.69,0.81
1.69@centerline.data,1.70@centerline.data,25.22,201.60,-2.47
1.70@centerline.data,1.71@centerline.data,19.58,242.73,4.29
1.71@centerline.data,1.72@centerline.data,17.19,197.41,-3.83
1.72@centerline.data,1.73@centerline.data,46.81,208.68,0.89
1.73@centerline.data,1.74@centerline.data,23.77,208.91,-1.71
1.74@centerline.data,1.75@centerline.data,21.53,155.34,2.46
1.75@centerline.data,1.76@centerline.data,29.90,189.04,-1.65
1.76@centerline.data,1.77@centerline.data,30.06,210.56,2.18
1.77@centerline.data,1.78@centerline.data,19.91,216.32,-1.32
1.78@centerline.data,1.79@centerline.data,18.53,275.40,1.08
1.79@centerline.data,1.80@centerline.data,10.94,183.63,-1.76
1.80@centerline.data,1.81@centerline.data,18.48,238.88,2.93
1.81@centerline.data,1.82@centerline.data,28.18,150.34,-1.13
1.82@centerline.data,1.83@centerline.data,24.10,196.11,9.89
1.83@centerline.data,1.84@centerline.data,17.47,294.02,-1.20
1.84@centerline.data,1.85@centerline.data,21.19,207.61,3.42
1.85@centerline.data,1.86@centerline.data,11.44,175.04,19.83
1.86@centerline.data,1.87@centerline.data,24.00,114.22,-3.88
1.87@centerline.data,1.88@centerline.data,13.25,179.47,-14.99
1.88@centerline.data,1.89@centerline.data,13.06,225.96,-4.00
1.89@centerline.data,1.90@centerline.data,13.39,262.52,6.89
1.90@centerline.data,1.91@centerline.data,15.81,208.14,-0.56
1.91@centerline.data,1.92@centerline.data,30.03,194.28,0.24
1.92@centerline.data,1.93@centerline.data,20.68,208.44,-1.46
1.93@centerline.data,1.94@centerline.data,17.56,217.87,0.59
1.94@centerline.data,1.95@centerline.data,13.14,235.21,1.00
1.95@centerline.data,1.96@centerline.data,25.15,193.49,-1.16
1.96@centerline.data,1.97@centerline.data,21.63,183.14,0.16
1.97@centerline.data,1.98@centerline.data,26.64,212.82,0.44
1.98@centerline.data,1.99@centerline.data,20.35,215.86,5.10
1.99@centerline.data,1.100@centerline.data,19.08,207.77,0.00
1.100@centerline.data,1.101@centerline.data,25.93,215.99,-5.17
1.101@centerline.data,1.102@centerline.data,23.72,175.65,1.36
1.102@centerline.data,1.103@centerline.data,29.39,212.54,1.62
1.103@centerline.data,1.104@centerline.data,30.98,219.04,-1.25
1.104@centerline.data,1.105@centerline.data,18.34,215.63,-2.35
1.105@centerline.data,1.106@centerline.data,17.04,181.01,-3.51
1.106@centerline.data,1.107@centerline.data,18.31,134.62,2.51
1.107@centerline.data,1.108@centerline.data,8.34,221.32,6.91
1.108@centerline.data,1.109@centerline.data,6.14,171.55,-18.64
1.109@centerline.data,1.110@centerline.data,11.09,179.63,-0.02
1.110@centerline.data,1.111@centerline.data,8.77,200.27,3.46
1.111@centerline.data,1.112@centerline.data,8.14,166.11,0.26
1.112@centerline.data,1.113@centerline.data,17.00,238.27,0.01
1.113@centerline.data,1.114@centerline.data,9.97,156.20,2.62
1.114@centerline.data,1.115@centerline.data,16.97,231.11,-1.96
1.115@centerline.data,1.116@centerline.data,18.97,193.13,-1.60
1.116@centerline.data,1.117@centerline.data,21.40,176.05,2.06
1.117@centerline.data,1.118@centerline.data,10.30,203.55,11.44
1.53@centerline.data,2.0@centerline.data,0.00,0.00,0.00
2.0@centerline.data,2.1@centerline.data,22.06,38.89,3.51
2.1@centerline.data,2.2@centerline.data,27.66,81.57,-2.24
2.2@centerline.data,2.3@centerline.data,28.51,77.52,1.32
2.3@centerline.data,2.4@centerline.data,9.15,118.76,2.76
2.4@centerline.data,2.5@centerline.data,21.86,154.59,0.19
2.5@centerline.data,2.6@centerline.data,35.67,43.86,-1.04
2.6@centerline.data,2.7@centerline.data,18.58,51.10,-1.79
2.7@centerline.data,2.8@centerline.data,24.28,55.56,4.51
2.8@centerline.data,2.9@centerline.data,6.47,124.05,-9.54
2.9@centerline.data,2.10@centerline.data,12.31,115.03,-2.03
2.10@centerline.data,2.11@centerline.data,16.49,66.57,7.42
2.11@centerline.data,2.12@centerline.data,15.99,82.41,-8.72
2.12@centerline.data,2.13@centerline.data,17.95,50.89,2.68
2.13@centerline.data,2.14@centerline.data,4.96,40.02,23.99
2.14@centerline.data,2.15@centerline.data,27.30,33.30,-2.63
2.15@centerline.data,2.16@centerline.data,13.12,19.95,2.98
2.16@centerline.data,2.17@centerline.data,10.94,17.66,-3.16
2.17@centerline.data,2.18@centerline.data,14.29,356.52,-5.27
2.18@centerline.data,2.19@centerline.data,16.50,356.97,-1.82
2.19@centerline.data,2.20@centerline.data,25.83,30.12,-0.59
2.20@centerline.data,2.21@centerline.data,15.59,16.52,-6.94
2.21@centerline.data,2.22@centerline.data,15.90,49.37,10.10
2.22@centerline.data,2.23@centerline.data,15.55,4.79,3.97
2.23@centerline.data,2.24@centerline.data,7.81,31.27,-29.19
2.24@centerline.data,2.25@centerline.data,7.94,359.93,-12.68
2.25@centerline.data,2.26@centerline.data,4.35,41.29,14.39
2.26@centerline.data,2.27@centerline.data,2.03,327.63,35.09
2.27@centerline.data,2.28@centerline.data,6.45,53.85,23.27
2.28@centerline.data,2.29@centerline.data,3.86,48.95,2.97
2.29@centerline.data,2.30@centerline.data,8.33,21.77,-13.58
2.30@centerline.data,2.31@centerline.data,13.84,27.85,-1.04
2.31@centerline.data,2.32@centerline.data,6.87,15.10,-17.53
2.32@centerline.data,2.33@centerline.data,8.84,22.40,-1.64
2.33@centerline.data,2.34@centerline.data,7.47,24.21,-2.39
2.34@centerline.data,2.35@centerline.data,4.18,44.79,6.06
2.35@centerline.data,2.36@centerline.data,6.60,12.80,8.65
2.36@centerline.data,2.37@centerline.data,14.08,26.53,0.85
2.37@centerline.data,2.38@centerline.data,19.06,29.77,-5.78
2.38@centerline.data,2.39@centerline.data,11.54,34.85,4.47
2.39@centerline.data,2.40@centerline.data,9.78,34.27,-2.22
2.40@centerline.data,2.41@centerline.data,6.20,29.01,-1.46
2.41@centerline.data,2.42@centerline.data,8.82,46.21,0.07
2.42@centerline.data,2.43@centerline.data,7.06,18.25,1.60
2.43@centerline.data,2.44@centerline.data,11.12,58.62,-0.14
2.44@centerline.data,2.45@centerline.data,5.83,51.55,-13.72
2.45@centerline.data,2.46@centerline.data,13.20,42.99,3.68
2.46@centerline.data,2.47@centerline.data,4.25,72.71,-6.65
2.47@centerline.data,2.48@centerline.data,6.57,15.43,1.10
2.48@centerline.data,2.49@centerline.data,7.36,25.78,3.44
2.49@centerline.data,2.50@centerline.data,12.29,42.36,5.90
2.50@centerline.data,2.51@centerline.data,15.83,11.30,4.46
2.51@centerline.data,2.52@centerline.data,5.71,24.99,-27.64
2.52@centerline.data,2.53@centerline.data,39.74,62.98,-3.10
2.53@centerline.data,2.54@centerline.data,27.08,41.56,-0.99
2.54@centerline.data,2.55@centerline.data,28.92,69.49,-0.36
2.55@centerline.data,2.56@centerline.data,21.56,86.05,-0.11
2.56@centerline.data,2.57@centerline.data,26.00,106.38,-0.39
2.57@centerline.data,2.58@centerline.data,35.55,103.20,-1.03
2.58@centerline.data,2.59@centerline.data,29.58,73.08,0.76
2.59@centerline.data,2.60@centerline.data,32.02,87.86,1.34
2.60@centerline.data,2.61@centerline.data,38.92,56.13,-1.19
2.61@centerline.data,2.62@centerline.data,34.19,29.33,2.64
2.62@centerline.data,2.63@centerline.data,22.17,45.50,-3.03
2.63@centerline.data,2.64@centerline.data,21.11,75.27,5.57
2.64@centerline.data,2.65@centerline.data,29.58,16.62,-3.82
2.65@centerline.data,2.66@centerline.data,19.97,344.36,-2.38
2.66@centerline.data,2.67@centerline.data,22.06,59.43,1.35
2.67@centerline.data,2.68@centerline.data,25.70,94.56,-0.80
2.68@centerline.data,2.69@centerline.data,22.27,101.40,0.89
2.69@centerline.data,2.70@centerline.data,35.26,161.14,6.24
2.70@centerline.data,2.71@centerline.data,29.33,62.69,-6.18
2.71@centerline.data,2.72@centerline.data,30.75,66.17,-2.73
2.72@centerline.data,2.73@centerline.data,26.88,44.82,4.69
2.73@centerline.data,2.74@centerline.data,25.02,63.48,10.50
2.74@centerline.data,2.75@centerline.data,28.11,58.21,3.11
2.75@centerline.data,2.76@centerline.data,32.29,108.76,-12.61
2.76@centerline.data,2.77@centerline.data,38.23,66.12,4.01
2.77@centerline.data,2.78@centerline.data,25.28,15.00,5.75
2.78@centerline.data,2.79@centerline.data,24.10,69.58,-19.99
2.79@centerline.data,2.80@centerline.data,48.65,29.86,28.19
2.80@centerline.data,2.81@centerline.data,20.35,84.47,34.26
2.81@centerline.data,2.82@centerline.data,3.37,92.99,20.11
2.82@centerline.data,2.83@centerline.data,21.28,46.21,-3.58
2.83@centerline.data,2.84@centerline.data,9.39,32.37,-18.54
2.84@centerline.data,2.85@centerline.data,10.18,23.27,-30.52
2.85@centerline.data,2.86@centerline.data,6.90,109.77,-16.71
2.86@centerline.data,2.87@centerline.data,13.73,43.76,-36.98
2.87@centerline.data,2.88@centerline.data,18.07,51.85,-4.17
2.88@centerline.data,2.89@centerline.data,13.20,332.24,-16.36
2.89@centerline.data,2.90@centerline.data,19.09,353.29,-16.26
2.90@centerline.data,2.91@centerline.data,22.61,46.71,-0.10
2.91@centerline.data,2.92@centerline.data,17.06,131.59,-1.38
2.92@centerline.data,2.93@centerline.data,17.65,54.42,-0.19
2.93@centerline.data,2.94@centerline.data,19.78,126.97,18.51
2.94@centerline.data,2.95@centerline.data,28.34,61.39,-6.01
2.88@centerline.data,201.1@centerline.data,8.06,115.13,-6.79
201.1@centerline.data,202.1@centerline.data,20.63,137.41,-2.64
201.1@centerline.data,201.2@centerline.data,49.59,90.29,-1.96
201.2@centerline.data,202.1@centerline.data,39.04,246.74,1.21
201.2@centerline.data,201.3@centerline.data,22.34,4.93,1.57
201.3@centerline.data,2.94@centerline.data,16.75,330.05,-4.97
2.96@centerline.data,2.95@centerline.data,19.80,220.17,13.23
2.96@centerline.data,2.97@centerline.data,24.49,108.22,14.93
2.97@centerline.data,2.98@centerline.data,11.84,138.36,16.39
2.98@centerline.data,2.99@centerline.data,53.77,106.27,18.06
2.97@centerline.data,3.0@centerline.data,0.00,0.00,0.00
3.0@centerline.data,3.1@centerline.data,7.01,193.98,-19.08
3.1@centerline.data,3.2@centerline.data,12.88,130.68,-2.92
3.2@centerline.data,3.3@centerline.data,23.82,124.34,-0.81
3.3@centerline.data,3.4@centerline.data,11.69,247.57,-2.85
3.4@centerline.data,3.5@centerline.data,29.48,135.09,1.44
3.5@centerline.data,3.6@centerline.data,15.59,133.71,-4.33
3.6@centerline.data,3.7@centerline.data,9.33,51.89,4.74
3.7@centerline.data,3.8@centerline.data,13.04,143.26,9.13
3.8@centerline.data,3.9@centerline.data,9.19,136.58,-8.45
3.9@centerline.data,3.10@centerline.data,32.47,140.41,-2.87
3.10@centerline.data,3.11@centerline.data,13.12,80.74,-3.28
2.96@centerline.data,203.1@centerline.data,9.42,223.65,-30.75
203.1@centerline.data,203.0@centerline.data,50.00,0.00,0.00
203.0@centerline.data,203.2@centerline.data,9.13,105.55,1.63
203.2@centerline.data,203.3@centerline.data,13.14,35.90,-2.40
203.3@centerline.data,203.4@centerline.data,9.91,317.66,-4.24
203.4@centerline.data,203.5@centerline.data,11.28,42.91,5.14
203.5@centerline.data,203.6@centerline.data,9.33,36.40,-1.46
203.6@centerline.data,203.7@centerline.data,5.10,158.90,9.80
203.7@centerline.data,203.8@centerline.data,6.45,69.37,12.34
203.8@centerline.data,203.9@centerline.data,15.11,35.73,2.14
203.9@centerline.data,203.10@centerline.data,13.19,84.25,-1.23
203.10@centerline.data,203.11@centerline.data,19.74,51.17,1.27
203.11@centerline.data,203.12@centerline.data,8.22,96.93,-11.83
203.12@centerline.data,203.13@centerline.data,8.43,350.35,-2.31
203.13@centerline.data,203.14@centerline.data,9.23,307.57,-13.69
203.14@centerline.data,203.15@centerline.data,8.36,45.63,4.25
203.15@centerline.data,203.16@centerline.data,7.22,349.09,0.88
2.78@centerline.data,4.1@centerline.data,23.67,2.01,14.27
4.1@centerline.data,4.2@centerline.data,17.40,282.06,10.18
4.2@centerline.data,4.3@centerline.data,23.59,349.89,2.91
4.3@centerline.data,4.4@centerline.data,28.21,329.43,2.68
4.4@centerline.data,4.5@centerline.data,35.23,299.28,-5.60
4.5@centerline.data,4.6@centerline.data,23.62,280.46,0.56
4.6@centerline.data,4.7@centerline.data,39.67,265.83,-0.26
4.7@centerline.data,4.8@centerline.data,24.09,275.21,0.47
4.8@centerline.data,4.9@centerline.data,34.27,177.21,-0.19
4.9@centerline.data,4.10@centerline.data,13.59,247.76,-1.25
4.10@centerline.data,4.11@centerline.data,13.49,272.72,-0.55
4.11@centerline.data,4.12@centerline.data,13.60,226.43,-0.28
4.12@centerline.data,4.13@centerline.data,12.58,204.36,-2.17
4.13@centerline.data,4.14@centerline.data,10.61,222.81,-0.78
4.14@centerline.data,4.15@centerline.data,16.88,213.27,2.31
4.15@centerline.data,4.16@centerline.data,12.30,197.38,-1.76
4.16@centerline.data,4.17@centerline.data,11.86,240.59,2.98
4.17@centerline.data,4.18@centerline.data,13.33,216.32,-4.18
4.18@centerline.data,4.19@centerline.data,2.96,188.19,-4.26
204.1@centerline.data,2.94@centerline.data,23.98,159.89,18.60
204.1@centerline.data,204.2@centerline.data,2.96,277.19,27.89
204.2@centerline.data,204.0@centerline.data,50.00,0.00,0.00
204.0@centerline.data,204.3@centerline.data,4.11,352.25,-27.03
204.3@centerline.data,204.4@centerline.data,6.08,302.62,6.75
204.4@centerline.data,204.5@centerline.data,12.89,264.64,-2.02
204.5@centerline.data,204.6@centerline.data,24.11,243.71,0.61
204.6@centerline.data,204.7@centerline.data,8.56,156.34,-5.70
204.7@centerline.data,204.8@centerline.data,6.45,52.62,24.99
204.8@centerline.data,2.91@centerline.data,50.00,180.00,0.00
2.91@centerline.data,205.0@centerline.data,100.00,180.00,0.00
205.0@centerline.data,205.1@centerline.data,26.35,208.87,-13.98
205.1@centerline.data,205.2@centerline.data,5.03,94.42,-2.13
205.2@centerline.data,205.3@centerline.data,22.52,208.96,1.27
205.3@centerline.data,205.4@centerline.data,7.94,120.77,-7.74
204.3@centerline.data,206.1@centerline.data,7.09,358.41,-2.25
206.1@centerline.data,206.2@centerline.data,8.26,345.74,-15.38
206.2@centerline.data,206.3@centerline.data,10.48,322.26,18.42
206.3@centerline.data,206.4@centerline.data,6.65,271.21,-10.73
206.4@centerline.data,206.5@centerline.data,3.38,339.02,-10.38
206.5@centerline.data,206.6@centerline.data,3.99,287.38,-5.36
206.6@centerline.data,206.7@centerline.data,2.84,8.20,0.06
206.7@centerline.data,206.8@centerline.data,5.15,262.23,-0.19
206.8@centerline.data,206.9@centerline.data,9.09,8.32,0.18
3.11@centerline.data,3.12@centerline.data,2.37,291.71,-81.16
3.12@centerline.data,3.13@centerline.data,3.20,131.03,-5.38
3.13@centerline.data,3.14@centerline.data,1.19,75.54,-2.94
3.14@centerline.data,3.15@centerline.data,2.45,119.27,0.14
3.15@centerline.data,3.16@centerline.data,0.18,92.89,-4.49
3.16@centerline.data,3.17@centerline.data,3.77,105.01,-3.14
3.17@centerline.data,3.18@centerline.data,1.81,149.06,-5.83
3.18@centerline.data,3.19@centerline.data,1.90,72.72,2.08
3.19@centerline.data,3.20@centerline.data,4.79,113.13,-3.70
3.20@centerline.data,3.21@centerline.data,3.50,65.55,7.54
3.21@centerline.data,3.22@centerline.data,3.27,128.62,-44.35
3.22@centerline.data,3.23@centerline.data,3.75,114.86,-13.60
3.23@centerline.data,3.24@centerline.data,1.26,205.35,6.39
3.24@centerline.data,3.25@centerline.data,3.82,123.14,-1.14
3.25@centerline.data,3.26@centerline.data,4.35,147.96,1.00
3.26@centerline.data,3.27@centerline.data,7.18,161.64,-4.62
3.27@centerline.data,3.28@centerline.data,5.85,167.88,-2.82
3.28@centerline.data,3.29@centerline.data,4.79,147.18,3.55
3.29@centerline.data,3.30@centerline.data,8.75,147.42,2.01
3.30@centerline.data,3.31@centerline.data,5.78,209.39,-1.81
3.31@centerline.data,3.32@centerline.data,14.33,180.29,0.06
3.32@centerline.data,3.33@centerline.data,6.03,157.54,1.18
3.33@centerline.data,3.34@centerline.data,6.72,124.30,-2.37
3.34@centerline.data,3.35@centerline.data,3.18,158.18,-2.14
3.35@centerline.data,3.36@centerline.data,6.58,142.24,1.81
3.36@centerline.data,3.37@centerline.data,11.80,134.65,-2.87
3.37@centerline.data,3.38@centerline.data,10.94,56.90,2.65
3.38@centerline.data,3.39@centerline.data,11.91,5.75,-0.11
3.39@centerline.data,3.40@centerline.data,8.25,28.90,-0.52
3.40@centerline.data,3.41@centerline.data,7.31,6.72,0.64
3.41@centerline.data,3.42@centerline.data,11.20,40.36,0.31
3.42@centerline.data,3.43@centerline.data,18.15,348.24,3.03
3.43@centerline.data,3.44@centerline.data,9.80,63.31,-0.78
3.44@centerline.data,3.45@centerline.data,8.39,5.88,2.08
3.45@centerline.data,3.46@centerline.data,5.13,35.76,2.47
3.46@centerline.data,3.47@centerline.data,2.48,21.22,-14.87
3.47@centerline.data,3.48@centerline.data,5.58,35.80,-3.03
3.48@centerline.data,3.49@centerline.data,4.63,107.29,19.83
3.49@centerline.data,3.50@centerline.data,8.33,1.89,2.79
3.50@centerline.data,3.51@centerline.data,15.47,48.21,0.00
3.51@centerline.data,3.52@centerline.data,4.58,6.39,0.16
3.52@centerline.data,3.53@centerline.data,12.92,53.26,0.47
3.53@centerline.data,3.54@centerline.data,10.12,85.05,-10.08
3.54@centerline.data,3.55@centerline.data,14.62,82.75,2.49
3.55@centerline.data,3.56@centerline.data,15.57,22.07,2.83
3.56@centerline.data,3.57@centerline.data,22.33,74.15,-1.26
3.57@centerline.data,3.58@centerline.data,10.39,10.16,4.41
3.58@centerline.data,3.59@centerline.data,13.06,354.77,1.46
3.59@centerline.data,3.60@centerline.data,13.03,354.26,1.57
3.60@centerline.data,3.61@centerline.data,5.11,309.17,-0.56
3.61@centerline.data,3.62@centerline.data,12.75,33.46,-3.04
3.62@centerline.data,3.63@centerline.data,10.50,335.09,-1.33
3.63@centerline.data,3.64@centerline.data,14.27,18.16,2.17
3.64@centerline.data,3.65@centerline.data,18.70,11.94,-0.64
3.65@centerline.data,3.66@centerline.data,19.92,56.49,1.42
3.66@centerline.data,3.67@centerline.data,11.29,3.24,0.64
3.67@centerline.data,3.68@centerline.data,15.55,315.89,-1.74
3.68@centerline.data,3.69@centerline.data,19.19,13.45,2.57
3.69@centerline.data,3.70@centerline.data,21.55,334.24,0.24
3.70@centerline.data,3.71@centerline.data,10.72,63.35,-1.52
3.71@centerline.data,3.72@centerline.data,13.90,358.19,-0.31
3.72@centerline.data,3.73@centerline.data,9.17,329.47,0.27
3.73@centerline.data,3.74@centerline.data,5.51,333.51,-1.03
3.74@centerline.data,3.75@centerline.data,7.26,348.41,-1.07
3.75@centerline.data,3.76@centerline.data,3.01,21.96,20.36
3.76@centerline.data,3.77@centerline.data,3.31,327.75,0.73
3.77@centerline.data,3.78@centerline.data,1.71,356.72,7.45
3.78@centerline.data,3.79@centerline.data,5.95,2.18,-11.46
3.79@centerline.data,3.80@centerline.data,8.74,354.50,-0.77
3.80@centerline.data,3.81@centerline.data,16.05,344.33,2.92
3.81@centerline.data,3.82@centerline.data,22.11,335.13,2.67
3.82@centerline.data,3.83@centerline.data,17.62,7.12,-1.47
3.83@centerline.data,3.84@centerline.data,9.40,315.38,6.48
3.84@centerline.data,3.85@centerline.data,13.52,50.36,-5.35
3.85@centerline.data,3.86@centerline.data,16.69,56.71,-4.57
3.86@centerline.data,3.87@centerline.data,22.99,39.46,2.28
103.2@centerline.data,1.0@centerline.data,3.86,1.20,-73.49
103.1@centerline.data,103.2@centerline.data,7.72,134.07,0.43
103.0@centerline.data,103.1@centerline.data,4.12,148.70,-23.20
103.0@centerline.data,103.1@centerline.data,4.12,149.00,-23.30
1.7@centerline.data,104.1@centerline.data,5.94,188.84,45.98
104.1@centerline.data,104.2@centerline.data,4.83,248.55,10.65
104.2@centerline.data,104.3@centerline.data,12.26,261.60,-2.92
104.3@centerline.data,104.4@centerline.data,11.79,230.62,1.09
104.4@centerline.data,104.5@centerline.data,9.14,226.15,1.73
104.5@centerline.data,104.6@centerline.data,22.85,231.83,0.82
104.6@centerline.data,104.7@centerline.data,2.26,226.06,21.76
104.7@centerline.data,104.8@centerline.data,9.32,276.04,2.53
104.8@centerline.data,104.9@centerline.data,19.16,255.45,-0.19
104.9@centerline.data,104.10@centerline.data,7.40,278.36,18.04
104.5@centerline.data,104.11@centerline.data,9.08,208.47,-3.29
104.11@centerline.data,104.12@centerline.data,17.07,253.11,1.70
1.8@centerline.data,105.0@centerline.data,50.00,0.00,0.00
105.0@centerline.data,105.1@centerline.data,11.61,332.28,-0.06
105.1@centerline.data,105.2@centerline.data,4.93,335.52,-1.36
105.2@centerline.data,105.3@centerline.data,9.45,35.15,0.50
105.3@centerline.data,105.4@centerline.data,5.08,342.21,-5.22
105.4@centerline.data,105.5@centerline.data,6.12,38.05,10.43
105.5@centerline.data,105.6@centerline.data,17.15,67.75,-1.29
105.6@centerline.data,105.7@centerline.data,8.93,24.76,0.80
105.7@centerline.data,105.8@centerline.data,15.25,63.56,-2.09
105.8@centerline.data,105.9@centerline.data,5.38,45.86,4.23
105.9@centerline.data,105.10@centerline.data,17.43,22.29,1.32
105.10@centerline.data,105.11@centerline.data,8.07,81.55,-1.62
105.11@centerline.data,105.12@centerline.data,12.14,34.29,-1.21
1.19@centerline.data,106.0@centerline.data,0.00,0.00,0.00
106.0@centerline.data,106.1@centerline.data,7.80,142.30,-6.87
106.1@centerline.data,106.2@centerline.data,1.22,199.78,-6.55
106.2@centerline.data,106.3@centerline.data,1.64,83.46,2.94
106.3@centerline.data,106.4@centerline.data,2.22,181.32,0.44
106.4@centerline.data,106.5@centerline.data,6.31,191.53,-21.15
106.5@centerline.data,1.28@centerline.data,11.79,60.39,26.28
3.70@centerline.data,301.0@centerline.data,0.00,0.00,0.00
301.0@centerline.data,301.1@centerline.data,7.52,207.72,6.52
301.1@centerline.data,301.2@centerline.data,20.28,279.49,11.96
301.2@centerline.data,301.3@centerline.data,32.40,237.48,0.90
301.3@centerline.data,301.4@centerline.data,34.72,256.85,7.65
301.4@centerline.data,301.5@centerline.data,43.23,254.40,-5.93
301.5@centerline.data,301.6@centerline.data,9.35,171.99,4.24
301.6@centerline.data,301.7@centerline.data,26.74,187.60,16.44
3.87@centerline.data,3.88@centerline.data,11.69,6.57,10.75
3.88@centerline.data,3.89@centerline.data,9.40,60.15,-0.73
3.89@centerline.data,3.90@centerline.data,36.60,10.12,1.23
3.90@centerline.data,3.91@centerline.data,5.07,88.29,-1.34
3.91@centerline.data,3.92@centerline.data,16.80,65.36,-13.71
3.92@centerline.data,3.93@centerline.data,24.75,31.62,-4.35
3.93@centerline.data,3.94@centerline.data,16.78,7.19,-3.18
3.94@centerline.data,3.95@centerline.data,16.89,73.13,0.76
3.95@centerline.data,3.96@centerline.data,16.35,49.95,0.64
3.96@centerline.data,3.97@centerline.data,17.89,25.91,-0.57
3.97@centerline.data,3.98@centerline.data,18.18,59.31,0.88
